text,label
"Koneksi internet sangat cepat dan stabil",Positive
"Layanan pelanggan sangat ramah dan membantu",Positive
"Saya puas dengan kecepatan internet Iconnet",Positive
"Harga sangat terjangkau dengan kualitas bagus",Positive
"Jaringan kencang buat main game tanpa lag",Positive
"Terima kasih Iconnet sudah pasang wifi di rumah saya",Positive
"Proses pemasangan sangat cepat dan rapi",Positive
"Streaming video lancar jaya tanpa buffering",Positive
"Sangat merekomendasikan layanan ini ke teman-teman",Positive
"Sinyal wifi kuat sampai ke lantai dua",Positive
"Koneksi sering putus nyambung tidak stabil",Negative
"Internet lemot sekali hari ini",Negative
"Customer service tidak responsif dan susah dihubungi",Negative
"Saya kecewa dengan pelayanan Iconnet",Negative
"Ping tinggi banget pas main game",Negative
"Sudah komplain tapi tidak ada tanggapan",Negative
"Jaringan mati total seharian parah",Negative
"Kecepatan tidak sesuai dengan paket yang dibeli",Negative
"Tagihan naik tiba-tiba tanpa pemberitahuan",Negative
"Sering gangguan kalau hujan turun",Negative
"Bagaimana cara daftar paket baru?",Neutral
"Apakah ada promo untuk pemasangan baru?",Neutral
"Lokasi kantor Iconnet dimana ya?",Neutral
"Saya ingin cek tagihan bulan ini",Neutral
"Berapa biaya pasang baru?",Neutral
"Kapan teknisi bisa datang ke rumah?",Neutral
"Apakah area saya sudah tercover jaringan?",Neutral
"Jam operasional kantor sampai jam berapa?",Neutral
"Nomor pengaduan gangguan berapa?",Neutral
"Saya mau ganti password wifi",Neutral
"Internet mantap jiwa",Positive
"Gak nyesel pasang iconnet",Positive
"Speed download kenceng parah",Positive
"Upload file cepet banget",Positive
"CS nya gercep banget",Positive
"Gangguan mulu bosen",Negative
"RTO terus bikin emosi",Negative
"Sinyal ilang-ilangan kaya dia",Negative
"Kapok pake provider ini",Negative
"Lemotnya minta ampun",Negative
"Info paket 20mbps",Neutral
"Cara restart modem gimana",Neutral
"Lampu modem kedip merah artinya apa",Neutral
"Bayar tagihan lewat apa aja",Neutral
"Minta info promo dong",Neutral
"Jaringan bagus stabil",Positive
"Koneksi internet cepat",Positive
"Pelayanan memuaskan",Positive
"Harga murah kualitas oke",Positive
"Sinyal kuat dan stabil",Positive
"Jaringan sering gangguan",Negative
"Koneksi lambat banget",Negative
"Pelayanan buruk sekali",Negative
"Harga mahal kualitas jelek",Negative
"Sinyal sering hilang",Negative
"Info pemasangan baru",Neutral
"Cek area jangkauan",Neutral
"Daftar harga paket",Neutral
"Cara bayar tagihan",Neutral
"Hubungi call center",Neutral
